IDS,Site #,Vendor Name,Vendor Link,Site Name,Location,City,State,Zip,Latitude,Longitude
FWV,286,MON POWER,https://www.firstenergycorp.com/outages_help/current_outages_maps/outages-map.html,Fairmont,2386 WHITE HALL BLVD,FAIRMONT,WV,26554-8220,39.2745,-80.177
,287,City of Escanaba Michigan,https://gis.escanaba.org/PublicOutageMap/,Escanaba MI,2905 N Lincoln Rd Escanaba,ESCANABA,MICHIGAN,49829,47.6739,-117.216
LFMN,290,MINNESOTA POWER,https://www.mnpower.com/OutageCenter/OutageMap,Little Falls,14884 113TH STREET,LITTLE FALLS,MN,56345-6378,46.8397,-92.2364
CID,295,IDAHO POWER CO,https://tools.idahopower.com/outage,Caldwell,5500 CLEVELAND BLVD,CALDWELL,ID,83607-8010,30.329,-81.9498
KCKS,311,KANSAS CITY BOARD OF PUBLIC UTILITIES,https://outage.bpu.com/,Kansas City,1201 NORTH 98TH STREET,KANSAS CITY,KS,66111-1865,39.1198,-94.8046
BMT,312,YELLOWSTONE VALLEY ELECTRIC COOPERATIVE,https://www.yvec.com/test-outage-map/,Billings,976 ROSEBUD LANE,BILLINGS,MT,59101-6485,45.7684,-108.5287
BMO,313,WHITE RIVER VALLEY ELECTRIC COOPERATIVE,https://whiteriver.outagemap.coop/,Branson,1342 SW OUTER RD,BRANSON,MO,65616-7866,36.6287,-93.2654
SOH,314,AEP Ohio,https://d6ss517do1xkp.cloudfront.net/external/default.html,Sunbury,395 NORTH WILSON ROAD,SUNBURY,OH,43074-7536,40.2713966,-82.9237747
EIN,390,Indiana Michigan Power,https://d6ss517do1xkp.cloudfront.net/external/default.html,Elkhart,1301 SANFORD SCHOOL ROAD,ELKHART,IN,46514,41.73671964,-85.9612965
CCA,316,COLTON PUBLIC UTILITIES,http://coltonca.gov/966/Electric-Grid-Outage-Map,Colton,1175 SOUTH MOUNT VERNON AVENUE,COLTON,CA,92324-4208,34.0538,-117.3132
MCA,318,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Menifee,26776 ENCANTO DRIVE,MENIFEE,CA,92585-9794,34.0332,-117.3124
RSCA,319,RIVERSIDE PUBLIC UTILITIES,https://riversideca.gov/outages/v3/index.html,Riverside,3051 MYERS STREET,RIVERSIDE,CA,92503-5525,33.9158,-117.4459
CMI,321,DTE Energy,https://outage.dteenergy.com/map,Chelsea,1603 S. MAIN STREET,CHELSEA,MI,48118-1410,42.29753,-84.02471
LKY,322,Kentucky Utilities,https://stormcenter.lge-ku.com/,London,325 COUNTY FARM RD,LONDON,KY,40741-8282,37.1281301,-84.10943764
TCA,324,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Temecula CA,27590 Jefferson Ave STE A,TEMECULA,CALIFORNIA,92590,33.7315,-117.1466
